cohort,time,event_time,att,se,n_treated,n_control,n_obs,treatment
53,65,12,-0.06388250455798983,0.11546125657027316,62,661,1042,Any
53,71,18,0.08115556272013065,0.04735829230512114,62,527,960,Any
53,77,24,-0.10485847791730002,0.0428667415571679,62,527,978,Any
53,83,30,0.01438610556174313,0.033382942745204654,62,526,962,Any
53,89,36,-0.06374188877152871,0.03415785525452741,62,522,925,Any
59,59,0,-0.0024911427527520465,0.07590672351371568,37,885,1331,Any
59,65,6,0.07122316629028397,0.06169382154819959,37,661,990,Any
59,71,12,0.047715850590248104,0.11906589151499286,37,527,902,Any
59,77,18,-0.014171588234501013,0.15131524190247922,37,527,917,Any
59,83,24,-0.19633561449855075,0.15083040684372856,37,526,901,Any
59,89,30,-0.05069011842566751,0.1715569793142898,37,522,866,Any
59,95,36,0.23155463117246872,0.19663557053476916,37,522,852,Any
61,61,0,-0.7547687063434132,0.09584386693205078,124,761,1305,Any
61,67,6,-0.46605768688448207,0.060222235493282095,124,609,1140,Any
61,73,12,-0.6342718097211956,0.10363210449928412,124,527,1054,Any
61,79,18,-0.13387709438294365,0.13260441626997813,124,527,1078,Any
61,85,24,-0.13555699346312902,0.12405319585310359,124,522,1027,Any
61,91,30,-0.025399153553243594,0.17546713458480015,124,522,1029,Any
61,97,36,-0.05995817621368187,0.07718200553526344,124,522,990,Any
63,63,0,0.30557347850211836,0.046270490812199395,100,661,1094,Any
63,69,6,0.3262341784356107,0.07013521785406665,100,607,1096,Any
63,75,12,0.4599589591647641,0.12030142726367045,100,527,1026,Any
63,81,18,0.4228075676265758,0.10944968165421061,100,526,1029,Any
63,87,24,0.4448620531571011,0.13190769708580075,100,522,972,Any
66,66,0,-0.32560312834616423,0.02447432839923387,52,609,988,Any
66,72,6,-0.18148541793940529,0.10068646874365482,52,527,852,Any
66,78,12,-0.4421903742892417,0.13660771541144293,52,527,874,Any
66,84,18,-0.04534749383625477,0.15519748811856177,52,526,832,Any
66,90,24,-0.11279370261356003,0.20210304654838407,52,522,830,Any
66,96,30,0.050896797453841326,0.2004927460371413,52,522,806,Any
66,102,36,0.0776143044391927,0.11592061123760142,52,522,789,Any
69,69,0,0.24824668328712934,0.05339013764891505,2,607,991,Any
69,75,6,0.3798867961440811,0.11790564231103781,2,527,855,Any
69,81,12,0.5298805855230586,0.11012094079943378,2,526,858,Any
69,87,18,0.4389459946455874,0.1313400603053177,2,522,801,Any
69,93,24,0.7844111416128395,0.18785762378192503,2,522,793,Any
69,99,30,0.4767078014585377,0.10865530240451321,2,522,780,Any
69,105,36,0.5699777092751966,0.09973371467531875,2,522,774,Any
70,70,0,0.7964126983280247,0.0634108269708407,8,599,1011,Any
70,76,6,1.6539820410595947,0.12175699109150474,8,527,875,Any
70,82,12,1.5701909204043176,0.09898856693427541,8,526,874,Any
